FileName,Digit
d00000.png,3
d00001.png,8
d00002.png,1
d00003.png,1
d00004.png,8
d00005.png,1
d00006.png,6
d00007.png,5
d00008.png,3
d00009.png,4
d00010.png,1
d00011.png,5
d00012.png,6
d00013.png,9
d00014.png,4
d00015.png,5
d00016.png,1
d00017.png,5
d00018.png,3
d00019.png,6
d00020.png,3
d00021.png,5
d00022.png,5
d00023.png,6
d00024.png,1
d00025.png,3
d00026.png,6
d00027.png,3
d00028.png,9
d00029.png,9
d00030.png,8
d00031.png,8
d00032.png,9
d00033.png,4
d00034.png,1
d00035.png,6
d00036.png,5
d00037.png,0
d00038.png,1
d00039.png,6
d00040.png,8
d00041.png,2
d00042.png,2
d00043.png,3
d00044.png,5
d00045.png,5
d00046.png,8
d00047.png,2
d00048.png,8
d00049.png,8
d00050.png,1
d00051.png,1
d00052.png,1
d00053.png,5
d00054.png,0
d00055.png,3
d00056.png,2
d00057.png,1
d00058.png,1
d00059.png,5
d00060.png,1
d00061.png,1
d00062.png,3
d00063.png,1
d00064.png,5
d00065.png,8
d00066.png,9
d00067.png,1
d00068.png,8
d00069.png,2
d00070.png,5
d00071.png,1
d00072.png,8
d00073.png,9
d00074.png,6
d00075.png,0
d00076.png,5
d00077.png,0
d00078.png,8
d00079.png,5
d00080.png,8
d00081.png,6
d00082.png,8
d00083.png,1
d00084.png,0
d00085.png,1
d00086.png,1
d00087.png,2
d00088.png,4
d00089.png,5
d00090.png,3
d00091.png,3
d00092.png,5
d00093.png,5
d00094.png,3
d00095.png,5
d00096.png,5
d00097.png,1
d00098.png,1
d00099.png,1
d00100.png,1
d00101.png,6
d00102.png,8
d00103.png,1
d00104.png,1
d00105.png,0
d00106.png,8
d00107.png,1
d00108.png,1
d00109.png,8
d00110.png,5
d00111.png,1
d00112.png,4
d00113.png,9
d00114.png,7
d00115.png,1
d00116.png,5
d00117.png,6
d00118.png,1
d00119.png,6
d00120.png,8
d00121.png,4
d00122.png,1
d00123.png,1
d00124.png,6
d00125.png,1
d00126.png,5
d00127.png,1
d00128.png,7
d00129.png,3
d00130.png,8
d00131.png,8
d00132.png,8
d00133.png,9
d00134.png,6
d00135.png,8
d00136.png,5
d00137.png,5
d00138.png,8
d00139.png,3
d00140.png,4
d00141.png,9
d00142.png,3
d00143.png,5
d00144.png,4
d00145.png,1
d00146.png,9
d00147.png,1
d00148.png,7
d00149.png,1
d00150.png,1
d00151.png,6
d00152.png,9
d00153.png,7
d00154.png,1
d00155.png,6
d00156.png,1
d00157.png,8
d00158.png,1
d00159.png,5
d00160.png,8
d00161.png,0
d00162.png,5
d00163.png,8
d00164.png,1
d00165.png,4
d00166.png,1
d00167.png,5
d00168.png,6
d00169.png,1
d00170.png,1
d00171.png,8
d00172.png,1
d00173.png,5
d00174.png,8
d00175.png,3
d00176.png,4
d00177.png,9
d00178.png,5
d00179.png,5
d00180.png,5
d00181.png,6
d00182.png,3
d00183.png,1
d00184.png,4
d00185.png,8
d00186.png,3
d00187.png,0
d00188.png,8
d00189.png,4
d00190.png,5
d00191.png,4
d00192.png,3
d00193.png,3
d00194.png,2
d00195.png,1
d00196.png,3
d00197.png,5
d00198.png,4
d00199.png,8
d00200.png,4
d00201.png,8
d00202.png,1
d00203.png,5
d00204.png,5
d00205.png,9
d00206.png,5
d00207.png,8
d00208.png,3
d00209.png,1
d00210.png,4
d00211.png,6
d00212.png,2
d00213.png,1
d00214.png,1
d00215.png,6
d00216.png,4
d00217.png,5
d00218.png,3
d00219.png,1
d00220.png,1
d00221.png,0
d00222.png,5
d00223.png,1
d00224.png,6
d00225.png,8
d00226.png,3
d00227.png,7
d00228.png,8
d00229.png,8
d00230.png,4
d00231.png,3
d00232.png,6
d00233.png,8
d00234.png,0
d00235.png,8
d00236.png,3
d00237.png,4
d00238.png,8
d00239.png,3
d00240.png,0
d00241.png,9
d00242.png,6
d00243.png,8
d00244.png,1
d00245.png,5
d00246.png,5
d00247.png,1
d00248.png,4
d00249.png,3
d00250.png,5
d00251.png,3
d00252.png,8
d00253.png,1
d00254.png,4
d00255.png,8
d00256.png,1
d00257.png,8
d00258.png,3
d00259.png,8
d00260.png,1
d00261.png,1
d00262.png,8
d00263.png,2
d00264.png,0
d00265.png,5
d00266.png,7
d00267.png,1
d00268.png,4
d00269.png,4
d00270.png,5
d00271.png,6
d00272.png,0
d00273.png,7
d00274.png,4
d00275.png,1
d00276.png,8
d00277.png,1
d00278.png,5
d00279.png,6
d00280.png,6
d00281.png,1
d00282.png,1
d00283.png,3
d00284.png,1
d00285.png,4
d00286.png,8
d00287.png,1
d00288.png,6
d00289.png,3
d00290.png,1
d00291.png,5
d00292.png,5
d00293.png,4
d00294.png,8
d00295.png,5
d00296.png,1
d00297.png,2
d00298.png,3
d00299.png,3
d00300.png,1
d00301.png,4
d00302.png,1
d00303.png,1
d00304.png,8
d00305.png,9
d00306.png,4
d00307.png,0
d00308.png,2
d00309.png,1
d00310.png,1
d00311.png,5
d00312.png,5
d00313.png,1
d00314.png,1
d00315.png,9
d00316.png,5
d00317.png,5
d00318.png,1
d00319.png,1
d00320.png,2
d00321.png,5
d00322.png,5
d00323.png,5
d00324.png,1
d00325.png,3
d00326.png,1
d00327.png,1
d00328.png,1
d00329.png,1
d00330.png,3
d00331.png,3
d00332.png,8
d00333.png,3
d00334.png,5
d00335.png,6
d00336.png,3
d00337.png,8
d00338.png,0
d00339.png,7
d00340.png,8
d00341.png,4
d00342.png,8
d00343.png,1
d00344.png,4
d00345.png,1
d00346.png,8
d00347.png,1
d00348.png,2
d00349.png,4
d00350.png,8
d00351.png,9
d00352.png,5
d00353.png,1
d00354.png,1
d00355.png,2
d00356.png,8
d00357.png,5
d00358.png,0
d00359.png,8
d00360.png,5
d00361.png,1
d00362.png,5
d00363.png,2
d00364.png,4
d00365.png,3
d00366.png,5
d00367.png,5
d00368.png,4
d00369.png,5
d00370.png,8
d00371.png,5
d00372.png,8
d00373.png,1
d00374.png,1
d00375.png,5
d00376.png,3
d00377.png,8
d00378.png,5
d00379.png,4
d00380.png,1
d00381.png,8
d00382.png,2
d00383.png,3
d00384.png,8
d00385.png,6
d00386.png,4
d00387.png,8
d00388.png,9
d00389.png,1
d00390.png,5
d00391.png,1
d00392.png,5
d00393.png,8
d00394.png,1
d00395.png,9
d00396.png,1
d00397.png,9
d00398.png,1
d00399.png,8
d00400.png,8
d00401.png,1
d00402.png,1
d00403.png,1
d00404.png,1
d00405.png,7
d00406.png,0
d00407.png,4
d00408.png,3
d00409.png,5
d00410.png,3
d00411.png,8
d00412.png,4
d00413.png,1
